date,year,month,sla_mm,decimal_year,predicted
2001-12-15,2001,12,-23.19999970495701,2001.9583333333333,17.89928090914782
2002-01-15,2002,1,-16.40000008046627,2002.0416666666667,18.188763395447495
2002-02-15,2002,2,-39.20000046491623,2002.125,18.47824588174626
2002-03-15,2002,3,-0.5000000237487257,2002.2083333333333,18.767728368045027
2002-04-15,2002,4,-18.799999728798866,2002.2916666666667,19.057210854344703
2002-05-15,2002,5,30.799999833106995,2002.375,19.34669334064347
2002-06-15,2002,6,-25.00000037252903,2002.4583333333333,19.636175826942235
2002-07-15,2002,7,-37.00000047683716,2002.5416666666667,19.925658313241
2002-08-15,2002,8,-21.299999207258224,2002.625,20.215140799539768
2002-09-15,2002,9,18.699999898672104,2002.7083333333333,20.504623285838534
2002-10-15,2002,10,-39.29999843239784,2002.7916666666667,20.79410577213821
2002-11-15,2002,11,16.899999231100082,2002.875,21.083588258436976
2002-12-15,2002,12,-21.299999207258224,2002.9583333333333,21.37307074473574
2003-01-15,2003,1,5.59999980032444,2003.0416666666667,21.662553231035417
2003-02-15,2003,2,2.4999999441206455,2003.125,21.952035717334184
2003-03-15,2003,3,36.80000081658363,2003.2083333333333,22.24151820363204
2003-04-15,2003,4,63.79999965429306,2003.2916666666667,22.531000689931716
2003-05-15,2003,5,20.70000022649765,2003.375,22.820483176230482
2003-06-15,2003,6,44.79999840259552,2003.4583333333333,23.109965662529248
2003-07-15,2003,7,-6.599999964237213,2003.5416666666667,23.399448148828924
2003-08-15,2003,8,10.700000450015068,2003.625,23.68893063512769
2003-09-15,2003,9,14.000000432133675,2003.7083333333333,23.978413121426456
2003-10-15,2003,10,16.699999570846558,2003.7916666666667,24.267895607726132
2003-11-15,2003,11,2.899999963119626,2003.875,24.55737809402399
2003-12-15,2003,12,28.00000086426735,2003.9583333333333,24.846860580322755
2004-01-15,2004,1,26.100000366568565,2004.0416666666667,25.13634306662243
2004-02-15,2004,2,64.69999998807907,2004.125,25.425825552921197
2004-03-15,2004,3,-11.500000022351742,2004.2083333333333,25.715308039219963
2004-04-15,2004,4,72.2000002861023,2004.2916666666667,26.00479052551964
2004-05-15,2004,5,41.4000004529953,2004.375,26.294273011818404
2004-06-15,2004,6,30.899999663233757,2004.4583333333333,26.58375549811717
2004-07-15,2004,7,35.90000048279762,2004.5416666666667,26.873237984415937
2004-08-15,2004,8,-20.19999921321869,2004.625,27.162720470714703
2004-09-15,2004,9,-6.6999997943639755,2004.7083333333333,27.45220295701347
2004-10-15,2004,10,28.00000086426735,2004.7916666666667,27.741685443313145
2004-11-15,2004,11,12.500000186264515,2004.875,28.03116792961191
2004-12-15,2004,12,73.49999994039536,2004.9583333333333,28.320650415910677
2005-01-15,2005,1,-9.399999864399433,2005.0416666666667,28.610132902210353
2005-02-15,2005,2,22.39999920129776,2005.125,28.89961538850912
2005-03-15,2005,3,1.0999999940395355,2005.2083333333333,29.189097874807885
2005-04-15,2005,4,76.09999924898148,2005.2916666666667,29.47858036110665
2005-05-15,2005,5,45.29999941587448,2005.375,29.768062847405417
2005-06-15,2005,6,29.200000688433647,2005.4583333333333,30.057545333704184
2005-07-15,2005,7,39.000000804662704,2005.5416666666667,30.34702782000386
2005-08-15,2005,8,31.39999881386757,2005.625,30.636510306302625
2005-09-15,2005,9,28.999999165534973,2005.7083333333333,30.92599279260139
2005-10-15,2005,10,34.40000116825104,2005.7916666666667,31.215475278901067
2005-11-15,2005,11,65.99999964237213,2005.875,31.504957765199833
2005-12-15,2005,12,23.499999195337296,2005.9583333333333,31.7944402514986
2006-01-15,2006,1,8.39999970048666,2006.0416666666667,32.083922737797366
2006-02-15,2006,2,79.4999971985817,2006.125,32.37340522409613
2006-03-15,2006,3,9.700000286102295,2006.2083333333333,32.6628877103949
2006-04-15,2006,4,52.000001072883606,2006.2916666666667,32.952370196694574
2006-05-15,2006,5,67.50000268220901,2006.375,33.24185268299334
2006-06-15,2006,6,56.09999969601631,2006.4583333333333,33.531335169292106
2006-07-15,2006,7,25.800000876188278,2006.5416666666667,33.82081765559178
2006-08-15,2006,8,74.90000128746033,2006.625,34.11030014189055
2006-09-15,2006,9,28.599999845027924,2006.7083333333333,34.399782628188404
2006-10-15,2006,10,52.99999937415123,2006.7916666666667,34.68926511448808
2006-11-15,2006,11,11.40000019222498,2006.875,34.978747600786846
2006-12-15,2006,12,6.599999964237213,2006.9583333333333,35.26823008708561
2007-01-15,2007,1,17.30000041425228,2007.0416666666667,35.55771257338529
2007-02-15,2007,2,108.59999805688858,2007.125,35.847195059684054
2007-03-15,2007,3,51.19999870657921,2007.2083333333333,36.13667754598282
2007-04-15,2007,4,77.79999822378159,2007.2916666666667,36.426160032282496
2007-05-15,2007,5,117.60000139474869,2007.375,36.71564251858035
2007-06-15,2007,6,91.60000085830688,2007.4583333333333,37.00512500487912
2007-07-15,2007,7,89.19999748468399,2007.5416666666667,37.294607491178795
2007-08-15,2007,8,93.59999746084213,2007.625,37.58408997747756
2007-09-15,2007,9,89.40000087022781,2007.7083333333333,37.87357246377633
2007-10-15,2007,10,65.49999862909317,2007.7916666666667,38.163054950076
2007-11-15,2007,11,97.99999743700027,2007.875,38.45253743637477
2007-12-15,2007,12,85.50000190734863,2007.9583333333333,38.742019922673535
2008-01-15,2008,1,61.7000013589859,2008.0416666666667,39.0315024089723
2008-02-15,2008,2,14.100000262260437,2008.125,39.32098489527107
2008-03-15,2008,3,70.10000199079514,2008.2083333333333,39.61046738156983
2008-04-15,2008,4,-32.00000151991844,2008.2916666666667,39.89994986786951
2008-05-15,2008,5,34.80000048875809,2008.375,40.189432354168275
2008-06-15,2008,6,72.40000367164612,2008.4583333333333,40.47891484046704
2008-07-15,2008,7,47.40000143647194,2008.5416666666667,40.76839732676672
2008-08-15,2008,8,34.60000082850456,2008.625,41.05787981306548
2008-09-15,2008,9,31.800001859664917,2008.7083333333333,41.34736229936425
2008-10-15,2008,10,-11.099999770522118,2008.7916666666667,41.636844785663016
2008-11-15,2008,11,-0.6000000284984708,2008.875,41.92632727196178
2008-12-15,2008,12,17.30000041425228,2008.9583333333333,42.21580975826055
2009-01-15,2009,1,62.300000339746475,2009.0416666666667,42.50529224456022
2009-02-15,2009,2,16.499999910593033,2009.125,42.79477473085899
2009-03-15,2009,3,28.4000001847744,2009.2083333333333,43.084257217157756
2009-04-15,2009,4,45.099999755620956,2009.2916666666667,43.37373970345743
2009-05-15,2009,5,18.89999955892563,2009.375,43.6632221897562
2009-06-15,2009,6,-4.100000020116568,2009.4583333333333,43.952704676054054
2009-07-15,2009,7,54.999999701976776,2009.5416666666667,44.24218716235373
2009-08-15,2009,8,-16.79999940097332,2009.625,44.531669648652496
2009-09-15,2009,9,30.400000512599945,2009.7083333333333,44.82115213495126
2009-10-15,2009,10,11.800000444054604,2009.7916666666667,45.11063462125094
2009-11-15,2009,11,85.00000089406967,2009.875,45.400117107549704
2009-12-15,2009,12,49.19999837875366,2009.9583333333333,45.68959959384847
2010-01-15,2010,1,56.299999356269836,2010.0416666666667,45.979082080148146
2010-02-15,2010,2,42.59999841451645,2010.125,46.268564566446
2010-03-15,2010,3,92.29999780654907,2010.2083333333333,46.55804705274477
2010-04-15,2010,4,43.09999942779541,2010.2916666666667,46.847529539044444
2010-05-15,2010,5,84.20000225305557,2010.375,47.13701202534321
2010-06-15,2010,6,91.49999916553497,2010.4583333333333,47.42649451164198
2010-07-15,2010,7,42.70000010728836,2010.5416666666667,47.71597699794165
2010-08-15,2010,8,47.69999906420708,2010.625,48.00545948424042
2010-09-15,2010,9,67.80000030994415,2010.7083333333333,48.294941970539185
2010-10-15,2010,10,70.50000131130219,2010.7916666666667,48.58442445683795
2010-11-15,2010,11,65.49999862909317,2010.875,48.87390694313672
2010-12-15,2010,12,64.9000033736229,2010.9583333333333,49.16338942943548
2011-01-15,2011,1,70.39999961853027,2011.0416666666667,49.45287191573516
2011-02-15,2011,2,16.599999740719795,2011.125,49.742354402033925
2011-03-15,2011,3,32.69999846816063,2011.2083333333333,50.03183688833269
2011-04-15,2011,4,53.300000727176666,2011.2916666666667,50.32131937463237
2011-05-15,2011,5,41.00000113248825,2011.375,50.61080186093113
2011-06-15,2011,6,50.200000405311584,2011.4583333333333,50.9002843472299
2011-07-15,2011,7,13.000000268220901,2011.5416666666667,51.189766833528665
2011-08-15,2011,8,49.800001084804535,2011.625,51.47924931982743
2011-09-15,2011,9,55.799998342990875,2011.7083333333333,51.7687318061262
2011-10-15,2011,10,72.80000299215317,2011.7916666666667,52.05821429242587
2011-11-15,2011,11,85.79999953508377,2011.875,52.34769677872464
2011-12-15,2011,12,98.30000251531601,2011.9583333333333,52.637179265023406
2012-01-15,2012,1,23.70000071823597,2012.0416666666667,52.92666175132308
2012-02-15,2012,2,71.99999690055847,2012.125,53.21614423762185
2012-03-15,2012,3,26.69999934732914,2012.2083333333333,53.505626723920614
2012-04-15,2012,4,52.99999937415123,2012.2916666666667,53.79510921021938
2012-05-15,2012,5,-7.000000216066837,2012.375,54.084591696518146
2012-06-15,2012,6,6.200000178068876,2012.4583333333333,54.37407418281691
2012-07-15,2012,7,40.800001472234726,2012.5416666666667,54.66355666911659
2012-08-15,2012,8,49.400001764297485,2012.625,54.953039155415354
2012-09-15,2012,9,36.80000081658363,2012.7083333333333,55.24252164171412
2012-10-15,2012,10,64.99999761581421,2012.7916666666667,55.532004128013796
2012-11-15,2012,11,40.800001472234726,2012.875,55.82148661431256
2012-12-15,2012,12,57.79999867081642,2012.9583333333333,56.11096910061042
2013-01-15,2013,1,48.700001090765,2013.0416666666667,56.400451586910094
2013-02-15,2013,2,63.69999796152115,2013.125,56.68993407320886
2013-03-15,2013,3,50.50000175833702,2013.2083333333333,56.97941655950763
2013-04-15,2013,4,56.89999833703041,2013.2916666666667,57.2688990458073
2013-05-15,2013,5,21.800000220537186,2013.375,57.55838153210607
2013-06-15,2013,6,75.90000331401825,2013.4583333333333,57.847864018404834
2013-07-15,2013,7,12.69999984651804,2013.5416666666667,58.13734650470451
2013-08-15,2013,8,84.10000056028366,2013.625,58.42682899100237
2013-09-15,2013,9,57.70000070333481,2013.7083333333333,58.71631147730113
2013-10-15,2013,10,76.09999924898148,2013.7916666666667,59.00579396360081
2013-11-15,2013,11,-13.500000350177288,2013.875,59.295276449899575
2013-12-15,2013,12,26.900000870227814,2013.9583333333333,59.58475893619834
2014-01-15,2014,1,53.39999869465828,2014.0416666666667,59.87424142249802
2014-02-15,2014,2,78.29999923706055,2014.125,60.16372390879678
2014-03-15,2014,3,2.79999990016222,2014.2083333333333,60.45320639509555
2014-04-15,2014,4,73.39999824762344,2014.2916666666667,60.742688881394315
2014-05-15,2014,5,56.0000017285347,2014.375,61.03217136769308
2014-06-15,2014,6,91.49999916553497,2014.4583333333333,61.32165385399185
2014-07-15,2014,7,57.00000002980232,2014.5416666666667,61.61113634029152
2014-08-15,2014,8,69.30000334978104,2014.625,61.90061882659029
2014-09-15,2014,9,90.40000289678574,2014.7083333333333,62.190101312889055
2014-10-15,2014,10,95.29999643564224,2014.7916666666667,62.47958379918873
2014-11-15,2014,11,74.40000027418137,2014.875,62.7690662854875
2014-12-15,2014,12,70.29999792575836,2014.9583333333333,63.05854877178626
2015-01-15,2015,1,73.60000163316727,2015.0416666666667,63.34803125808503
2015-02-15,2015,2,127.20000743865967,2015.125,63.637513744383796
2015-03-15,2015,3,93.99999678134918,2015.2083333333333,63.92699623068256
2015-04-15,2015,4,123.30000102519989,2015.2916666666667,64.21647871698224
2015-05-15,2015,5,107.79999941587448,2015.375,64.505961203281
2015-06-15,2015,6,111.29999905824661,2015.4583333333333,64.79544368957977
2015-07-15,2015,7,96.6000035405159,2015.5416666666667,65.08492617587945
2015-08-15,2015,8,106.10000044107437,2015.625,65.37440866217821
2015-09-15,2015,9,130.40000200271606,2015.7083333333333,65.66389114847607
2015-10-15,2015,10,73.70000332593918,2015.7916666666667,65.95337363477574
2015-11-15,2015,11,104.29999977350235,2015.875,66.24285612107451
2015-12-15,2015,12,92.90000051259995,2015.9583333333333,66.53233860737328
2016-01-15,2016,1,63.50000202655792,2016.0416666666667,66.82182109367295
2016-02-15,2016,2,110.89999973773956,2016.125,67.11130357997172
2016-03-15,2016,3,139.79999721050262,2016.2083333333333,67.40078606627048
2016-04-15,2016,4,127.20000743865967,2016.2916666666667,67.69026855257016
2016-05-15,2016,5,108.40000212192535,2016.375,67.97975103886802
2016-06-15,2016,6,78.50000262260437,2016.4583333333333,68.26923352516678
2016-07-15,2016,7,51.30000039935112,2016.5416666666667,68.55871601146646
2016-08-15,2016,8,12.900000438094139,2016.625,68.84819849776522
2016-09-15,2016,9,6.300000008195639,2016.7083333333333,69.13768098406399
2016-10-15,2016,10,63.40000033378601,2016.7916666666667,69.42716347036367
2016-11-15,2016,11,-2.7000000700354576,2016.875,69.71664595666243
2016-12-15,2016,12,0.39999998989515007,2016.9583333333333,70.0061284429612
2017-01-15,2017,1,57.70000070333481,2017.0416666666667,70.29561092925996
2017-02-15,2017,2,-17.30000041425228,2017.125,70.58509341555873
2017-03-15,2017,3,77.79999822378159,2017.2083333333333,70.8745759018575
2017-04-15,2017,4,13.299999758601189,2017.2916666666667,71.16405838815717
2017-05-15,2017,5,23.800000548362732,2017.375,71.45354087445594
2017-06-15,2017,6,65.700002014637,2017.4583333333333,71.7430233607547
2017-07-15,2017,7,40.50000011920929,2017.5416666666667,72.03250584705438
2017-08-15,2017,8,90.59999883174896,2017.625,72.32198833335315
2017-09-15,2017,9,75.19999891519547,2017.7083333333333,72.61147081965191
2017-10-15,2017,10,35.00000014901161,2017.7916666666667,72.90095330595068
2017-11-15,2017,11,68.40000301599503,2017.875,73.19043579224945
2017-12-15,2017,12,23.900000378489494,2017.9583333333333,73.47991827854821
2018-01-15,2018,1,53.300000727176666,2018.0416666666667,73.76940076484789
2018-02-15,2018,2,33.59999880194664,2018.125,74.05888325114665
2018-03-15,2018,3,52.20000073313713,2018.2083333333333,74.34836573744542
2018-04-15,2018,4,89.00000154972076,2018.2916666666667,74.6378482237451
2018-05-15,2018,5,103.1000018119812,2018.375,74.92733071004386
2018-06-15,2018,6,90.40000289678574,2018.4583333333333,75.21681319634263
2018-07-15,2018,7,82.8000009059906,2018.5416666666667,75.5062956826414
2018-08-15,2018,8,75.99999755620956,2018.625,75.79577816894016
2018-09-15,2018,9,71.80000096559525,2018.7083333333333,76.08526065523893
2018-10-15,2018,10,54.999999701976776,2018.7916666666667,76.3747431415386
2018-11-15,2018,11,100.80000013113022,2018.875,76.66422562783737
2018-12-15,2018,12,112.59999871253967,2018.9583333333333,76.95370811413613
2019-01-15,2019,1,99.89999979734421,2019.0416666666667,77.24319060043581
2019-02-15,2019,2,113.79999667406082,2019.125,77.53267308673458
2019-03-15,2019,3,119.69999969005585,2019.2083333333333,77.82215557303243
2019-04-15,2019,4,128.39999794960022,2019.2916666666667,78.11163805933211
2019-05-15,2019,5,126.30000710487366,2019.375,78.40112054563087
2019-06-15,2019,6,150.49999952316284,2019.4583333333333,78.69060303192964
2019-07-15,2019,7,87.89999783039093,2019.5416666666667,78.98008551822932
2019-08-15,2019,8,45.29999941587448,2019.625,79.26956800452808
2019-09-15,2019,9,91.49999916553497,2019.7083333333333,79.55905049082685
2019-10-15,2019,10,85.10000258684158,2019.7916666666667,79.84853297712652
2019-11-15,2019,11,95.39999812841415,2019.875,80.13801546342438
2019-12-15,2019,12,145.89999616146088,2019.9583333333333,80.42749794972315
2020-01-15,2020,1,94.30000185966492,2020.0416666666667,80.71698043602282
2020-02-15,2020,2,139.20000195503235,2020.125,81.00646292232159
2020-03-15,2020,3,183.30000340938568,2020.2083333333333,81.295945408620355
2020-04-15,2020,4,153.09999883174896,2020.2916666666667,81.58542789492003
2020-05-15,2020,5,127.90000438690186,2020.375,81.8749103812188
2020-06-15,2020,6,148.39999377727509,2020.4583333333333,82.16439286751756
2020-07-15,2020,7,146.8999981880188,2020.5416666666667,82.45387535381633
2020-08-15,2020,8,87.49999850988388,2020.625,82.7433578401151
2020-09-15,2020,9,97.09999710321426,2020.7083333333333,83.03284032641386
