year,month,sst_mean,sst_min,sst_max,date,clim_monthly_mean,anomaly
1990,5,28.26577,27.065716,29.457855,1990-05-15,27.985186,0.28058434
1990,6,27.186308,26.443573,27.804285,1990-06-15,26.798796,0.3875122
1990,7,25.906475,25.26036,26.743212,1990-07-15,25.807795,0.098680496
1990,8,25.284355,24.843214,25.72143,1990-08-15,25.307146,-0.022790909
1990,9,25.461487,24.886429,25.960356,1990-09-15,25.65103,-0.18954277
1990,10,26.089354,25.503569,26.979643,1990-10-15,26.394232,-0.30487823
1990,11,27.236607,26.152859,28.640354,1990-11-15,27.614315,-0.37770844
1990,12,28.684803,28.009283,29.547857,1990-12-15,28.478245,0.20655823
1991,1,29.251314,28.319641,30.5925,1991-01-15,28.576626,0.67468834
1991,2,28.510061,27.508213,29.441784,1991-02-15,28.754911,-0.24485016
1991,3,29.541798,28.642141,30.873571,1991-03-15,29.323496,0.21830177
1991,4,28.833738,28.174286,29.76286,1991-04-15,28.854733,-0.020994186
1991,5,28.001877,27.575714,29.156427,1991-05-15,27.985186,0.016691208
1991,6,26.736023,25.756071,27.786785,1991-06-15,26.798796,-0.06277275
1991,7,25.355507,24.417858,26.4725,1991-07-15,25.807795,-0.45228767
1991,8,24.570738,23.895357,24.877855,1991-08-15,25.307146,-0.73640823
1991,9,24.948572,24.217142,25.554285,1991-09-15,25.65103,-0.7024574
1991,10,25.986914,24.920715,27.588928,1991-10-15,26.394232,-0.40731812
1991,11,27.62131,26.672855,28.462858,1991-11-15,27.614315,0.0069942474
1991,12,28.398905,27.54357,29.197859,1991-12-15,28.478245,-0.07933998
1992,1,28.319664,27.564285,29.22857,1992-01-15,28.576626,-0.25696182
1992,2,28.649494,28.011072,29.133572,1992-02-15,28.754911,-0.10541725
1992,3,28.937326,27.609646,30.904284,1992-03-15,29.323496,-0.38616943
1992,4,28.950773,28.368216,29.756073,1992-04-15,28.854733,0.096040726
1992,5,28.231497,27.55893,29.130001,1992-05-15,27.985186,0.24631119
1992,6,26.88657,26.337141,27.914282,1992-06-15,26.798796,0.08777428
1992,7,26.070253,25.461786,26.851429,1992-07-15,25.807795,0.2624588
1992,8,24.888144,24.380001,25.412142,1992-08-15,25.307146,-0.41900253
1992,9,25.481392,25.158209,26.032139,1992-09-15,25.65103,-0.16963768
1992,10,26.451048,25.240002,27.360355,1992-10-15,26.394232,0.0568161
1992,11,27.53781,27.04107,28.543213,1992-11-15,27.614315,-0.07650566
1992,12,28.0203,27.152142,28.944286,1992-12-15,28.478245,-0.45794487
1993,1,28.118616,27.228926,28.819286,1993-01-15,28.576626,-0.45800972
1993,2,28.371517,27.6825,28.967855,1993-02-15,28.754911,-0.38339424
1993,3,28.492477,27.851429,29.312857,1993-03-15,29.323496,-0.83101845
1993,4,28.501188,27.82964,29.184998,1993-04-15,28.854733,-0.35354424
1993,5,28.14227,27.53571,28.575357,1993-05-15,27.985186,0.15708351
1993,6,27.116499,26.226429,27.884642,1993-06-15,26.798796,0.31770325
1993,7,25.738304,24.514286,26.514645,1993-07-15,25.807795,-0.06949043
1993,8,24.85947,24.476425,25.233568,1993-08-15,25.307146,-0.4476757
1993,9,25.395714,25.068571,26.166788,1993-09-15,25.65103,-0.25531578
1993,10,26.114746,25.226788,27.881071,1993-10-15,26.394232,-0.2794857
1993,11,27.740332,26.776426,28.5275,1993-11-15,27.614315,0.12601662
1993,12,28.49614,28.126785,29.120712,1993-12-15,28.478245,0.017894745
1994,1,28.562119,27.899643,29.313211,1994-01-15,28.576626,-0.014507294
1994,2,28.539669,27.843212,29.158215,1994-02-15,28.754911,-0.21524239
1994,3,29.445288,28.69071,30.35107,1994-03-15,29.323496,0.12179184
1994,4,28.887964,28.096426,29.93714,1994-04-15,28.854733,0.033231735
1994,5,27.728134,27.249287,28.132498,1994-05-15,27.985186,-0.25705147
1994,6,26.67394,26.06107,27.29857,1994-06-15,26.798796,-0.12485504
1994,7,25.711613,24.908926,26.453928,1994-07-15,25.807795,-0.09618187
1994,8,25.217142,24.742857,25.686785,1994-08-15,25.307146,-0.09000397
1994,9,25.326405,24.168213,26.291784,1994-09-15,25.65103,-0.32462502
1994,10,26.314388,25.639286,27.507502,1994-10-15,26.394232,-0.07984352
1994,11,27.416191,26.801426,28.411428,1994-11-15,27.614315,-0.19812393
1994,12,28.47243,28.107143,29.04357,1994-12-15,28.478245,-0.005815506
1995,1,27.910496,26.750357,28.8725,1995-01-15,28.576626,-0.66613007
1995,2,28.569412,27.279642,29.241068,1995-02-15,28.754911,-0.18549919
1995,3,29.143074,28.114643,29.9275,1995-03-15,29.323496,-0.18042183
1995,4,28.594213,27.808573,29.584642,1995-04-15,28.854733,-0.26051903
1995,5,27.93781,27.174286,28.75607,1995-05-15,27.985186,-0.047374725
1995,6,26.634737,25.683928,27.555714,1995-06-15,26.798796,-0.16405869
1995,7,25.933432,25.587503,26.455715,1995-07-15,25.807795,0.12563705
1995,8,25.587902,25.180355,26.434643,1995-08-15,25.307146,0.280756
1995,9,25.910952,24.956072,26.893572,1995-09-15,25.65103,0.25992203
1995,10,26.543951,25.649282,27.345715,1995-10-15,26.394232,0.14971924
1995,11,27.46956,26.551073,28.323929,1995-11-15,27.614315,-0.14475441
1995,12,28.604387,27.913927,29.320715,1995-12-15,28.478245,0.1261425
1996,1,28.948826,27.556427,29.92,1996-01-15,28.576626,0.3722
1996,2,29.145393,28.377502,30.119642,1996-02-15,28.754911,0.39048195
1996,3,29.580795,28.473927,30.510357,1996-03-15,29.323496,0.25729942
1996,4,28.509941,27.79964,29.162855,1996-04-15,28.854733,-0.3447914
1996,5,27.693491,26.491428,28.50357,1996-05-15,27.985186,-0.29169464
1996,6,26.441988,25.75643,27.176428,1996-06-15,26.798796,-0.3568077
1996,7,25.594538,25.022858,26.045,1996-07-15,25.807795,-0.21325684
1996,8,25.363398,24.917856,26.125355,1996-08-15,25.307146,0.056251526
1996,9,25.23682,24.605713,25.948572,1996-09-15,25.65103,-0.41420937
1996,10,26.127028,25.207499,27.786072,1996-10-15,26.394232,-0.26720428
1996,11,27.118345,25.867142,28.248213,1996-11-15,27.614315,-0.49596977
1996,12,27.837822,27.204641,28.523575,1996-12-15,28.478245,-0.6404228
1997,1,28.391117,27.552496,29.156788,1997-01-15,28.576626,-0.18550873
1997,2,27.848072,26.163568,28.7675,1997-02-15,28.754911,-0.9068394
1997,3,29.083006,28.23607,30.34286,1997-03-15,29.323496,-0.24048996
1997,4,28.370821,27.617855,29.073929,1997-04-15,28.854733,-0.4839115
1997,5,27.420551,26.7075,28.553572,1997-05-15,27.985186,-0.5646343
1997,6,26.791868,26.316427,27.317144,1997-06-15,26.798796,-0.0069274902
1997,7,25.816013,25.09464,26.51893,1997-07-15,25.807795,0.008218765
1997,8,25.57979,25.307142,25.983215,1997-08-15,25.307146,0.27264404
1997,9,25.993155,25.319641,26.669641,1997-09-15,25.65103,0.34212494
1997,10,26.466082,25.415716,27.209642,1997-10-15,26.394232,0.07184982
1997,11,27.992594,26.822857,29.712858,1997-11-15,27.614315,0.37827873
1997,12,28.511196,27.68893,29.352499,1997-12-15,28.478245,0.032951355
1998,1,29.593754,28.934284,30.085001,1998-01-15,28.576626,1.017128
1998,2,28.95296,27.02214,29.855,1998-02-15,28.754911,0.19804764
1998,3,30.310621,29.449997,31.626068,1998-03-15,29.323496,0.9871254
1998,4,29.702536,27.95107,30.862858,1998-04-15,28.854733,0.8478031
1998,5,28.456001,27.740711,29.411428,1998-05-15,27.985186,0.47081566
1998,6,26.98675,26.079641,27.565714,1998-06-15,26.798796,0.18795395
1998,7,26.120577,25.496428,26.559286,1998-07-15,25.807795,0.3127823
1998,8,25.781923,25.300354,26.40857,1998-08-15,25.307146,0.47477722
1998,9,25.851345,25.3,26.484283,1998-09-15,25.65103,0.20031548
1998,10,26.872442,26.370716,27.490713,1998-10-15,26.394232,0.47821045
1998,11,27.443417,27.042856,28.093931,1998-11-15,27.614315,-0.17089844
1998,12,28.556578,27.715357,29.095713,1998-12-15,28.478245,0.0783329
